voxel,x,y,z,voxel_idx,n_nonmissing,p_zero,n_outlier_removed,mad,var_I,error,mean_I,converged
7023403,107,123,123,1,20,0.0,0,1.3238589,1.7035372039088916,0.13909392086381644,0.25908831908940694,1.0
7023404,108,123,123,2,20,0.0,0,1.1321481,1.0710342350155468,0.228849386829628,0.2931107878909514,1.0
7023405,109,123,123,3,20,0.0,0,1.2355483,0.8301326270206484,0.33911685441683154,0.1809514509502857,1.0
7023406,110,123,123,4,20,0.0,0,1.3629171,0.9349516521647695,0.32212664867640534,0.08940972015421055,1.0
7023407,111,123,123,5,20,0.0,0,1.3802516,1.2946898714398694,0.3399311154198829,-0.1125184707451504,1.0
7023408,112,123,123,6,20,0.0,0,1.7175646,1.7983235090218366,0.5822108432743323,-0.42682828666984635,1.0
7023409,113,123,123,7,20,0.0,0,2.075015,2.362837314647445,0.5434595333425466,-0.547528712783842,1.0
7023410,114,123,123,8,20,0.0,0,2.1683931,2.4267757762512137,0.851831629057326,-0.6793199777644203,1.0
7023411,115,123,123,9,20,0.0,0,1.7984896,2.609631655685273,0.5518122949936627,-0.6944209337250504,1.0
7023627,107,124,123,12,20,0.0,1,1.100427,1.3802376645674699,0.21070922952888338,0.28396069919222716,1.0
7023628,108,124,123,13,20,0.0,0,1.0252883,0.9000559532868724,0.21208555813253202,0.28543947636789974,1.0
7023629,109,124,123,14,20,0.0,0,1.1834224,0.7018966033291651,0.3099644274988225,0.16704397648611613,1.0
7023630,110,124,123,15,20,0.0,0,1.2592468,0.6077433770034748,0.5293957401810823,0.026959538462107854,1.0
7023631,111,124,123,16,20,0.0,0,1.3916969,1.2843409679664708,0.26861135150152843,-0.1314616746033654,1.0
7023632,112,124,123,17,20,0.0,0,1.6445569,1.9187037812057153,0.38040634696878206,-0.43620657924575634,1.0
7023633,113,124,123,18,20,0.0,0,1.9755802,2.22747024193993,0.5506463786805275,-0.6326516717639122,1.0
7023634,114,124,123,19,20,0.0,0,2.3216329,2.4270151913369133,0.8861986359079203,-0.759175512031408,1.0
7023635,115,124,123,20,20,0.0,0,1.9350194,2.739182613579725,0.47799964108499954,-0.7345951198352205,1.0
7023636,116,124,123,21,20,0.0,3,1.1372058,1.5309533593559643,0.4686911226395845,-0.0643467522951504,1.0
7023851,107,125,123,23,20,0.0,0,1.1366009,1.0314839646394804,0.3243323236808623,0.3358702063992279,1.0
7023852,108,125,123,24,20,0.0,0,1.113502,0.4542922351543116,0.4018527013378348,0.26871494322974543,1.0
7023853,109,125,123,25,20,0.0,0,1.0882132,0.38619419993390885,0.4593921589193849,0.1592374815869047,1.0
7023854,110,125,123,26,20,0.0,1,0.9793407,0.5635987924859839,0.08216983970331387,-0.09003823228857669,1.0
7023855,111,125,123,27,20,0.0,0,1.3180368,0.8346484006425805,0.4250056240256369,-0.21148907023208185,1.0
7023856,112,125,123,28,20,0.0,0,1.737572,1.545627802446369,0.4235798123844205,-0.47314563393372056,1.0
7023857,113,125,123,29,20,0.0,0,1.8322285,2.079011868601316,0.2736946122548931,-0.5900538265707895,1.0
7023858,114,125,123,30,20,0.0,0,2.2182598,2.2165106481416506,0.47750571486046667,-0.7253980956674538,1.0
7023859,115,125,123,31,20,0.0,0,2.1235974,2.341217163418938,0.4775331222321011,-0.7088100942440497,1.0
7023860,116,125,123,32,20,0.0,2,1.2620299,1.5449357481276003,0.3680810028596812,-0.1889965905758578,1.0
7023861,117,125,123,33,20,0.0,2,1.2190222,1.3020358999038217,0.5851336082876057,-0.0005552023649543733,1.0
7024075,107,126,123,34,20,0.0,0,0.93164325,0.8139767744203815,0.23171050395164744,0.3599216192677627,1.0
7024076,108,126,123,35,20,0.0,0,0.8559256,0.5318561308031627,0.159965686954941,0.3809372783006707,1.0
7024077,109,126,123,36,20,0.0,1,0.73437697,0.3136314487084943,0.10803296199024567,0.08283086018338684,1.0
7024078,110,126,123,37,20,0.0,1,0.7658269,0.4402073190966389,0.12646712578923766,-0.041856710822932054,1.0
7024079,111,126,123,38,20,0.0,0,1.0697036,0.9964181937203948,0.19893890287243726,-0.19212512283505917,1.0
7024080,112,126,123,39,20,0.0,0,1.3675908,0.8181869412019571,0.829817588383915,-0.623824775220457,1.0
7024081,113,126,123,40,20,0.0,0,1.9344285,1.398486626633068,0.44449607034722793,-0.6691484451360339,1.0
7024082,114,126,123,41,20,0.0,0,2.033657,1.5555031814303155,0.8014671965156313,-0.7673564851275225,1.0
7024083,115,126,123,42,20,0.0,0,2.1567867,1.7909307035290287,0.6364814924713873,-0.7070086004470298,1.0
7024084,116,126,123,43,20,0.0,1,1.2136793,1.6987958307495723,0.45817804940122175,-0.4049994953670277,1.0
7024085,117,126,123,44,20,0.0,1,1.3223817,1.7519904362633383,0.49468835731810135,-0.2983061591777218,1.0
7024299,107,127,123,45,20,0.0,0,0.996233,0.2953921710919928,0.4595930863704944,0.37107163666910864,1.0
7024300,108,127,123,46,20,0.0,1,0.6445167,0.24504249448871204,0.07233571666975734,0.2589051094716361,1.0
